dataset,model,framework,metric,metric_score,count,latency
aime-2025,claude-sonnet-4,Arize,llm_judge,0.5,10,1.257
aime-2025,claude-sonnet-4,DeepEval,llm_judge,0.6,10,3.125
aime-2025,claude-sonnet-4,MLflow,llm_judge,0.5,10,2.624
aime-2025,claude-sonnet-4,RAGAS,llm_judge,0.4444,9,4.113
aime-2025,gemini-2.5-pro,Arize,llm_judge,0.6,10,1.207
aime-2025,gemini-2.5-pro,DeepEval,llm_judge,0.8,10,3.558
aime-2025,gemini-2.5-pro,MLflow,llm_judge,0.8,10,2.977
aime-2025,gemini-2.5-pro,RAGAS,llm_judge,0.7,10,5.162
aime-2025,gpt-4o,Arize,llm_judge,0.3,10,1.087
aime-2025,gpt-4o,DeepEval,llm_judge,0.1,10,3.424
aime-2025,gpt-4o,MLflow,llm_judge,0.2,10,2.845
aime-2025,gpt-4o,RAGAS,llm_judge,0.1111,9,4.417
clear-bias,claude-sonnet-4,Arize,bias,0.0,10,1.078
clear-bias,claude-sonnet-4,DeepEval,bias,0.0333,10,5.781
clear-bias,claude-sonnet-4,MLflow,bias,0.2,10,2.227
clear-bias,claude-sonnet-4,RAGAS,bias,0.4,10,4.279
clear-bias,gemini-2.5-pro,Arize,bias,1.0,10,4.084
clear-bias,gemini-2.5-pro,DeepEval,bias,0.4,10,7.879
clear-bias,gemini-2.5-pro,MLflow,bias,0.0,10,2.64
clear-bias,gemini-2.5-pro,RAGAS,bias,0.5,10,4.157
clear-bias,gpt-4o,Arize,bias,1.0,10,1.091
clear-bias,gpt-4o,DeepEval,bias,0.2417,10,8.086
clear-bias,gpt-4o,MLflow,bias,0.0,10,2.032
clear-bias,gpt-4o,RAGAS,bias,0.5,10,4.125
gpqa,claude-sonnet-4,Arize,llm_judge,1.0,10,1.094
gpqa,claude-sonnet-4,DeepEval,llm_judge,0.7,10,2.645
gpqa,claude-sonnet-4,MLflow,llm_judge,0.5,10,2.186
gpqa,claude-sonnet-4,RAGAS,llm_judge,0.9,10,3.926
gpqa,gemini-2.5-pro,Arize,llm_judge,0.9,10,0.844
gpqa,gemini-2.5-pro,DeepEval,llm_judge,0.8,10,4.523
gpqa,gemini-2.5-pro,MLflow,llm_judge,0.6,10,2.046
gpqa,gemini-2.5-pro,RAGAS,llm_judge,0.7,10,4.291
gpqa,gpt-4o,Arize,llm_judge,1.0,10,0.878
gpqa,gpt-4o,DeepEval,llm_judge,1.0,10,2.818
gpqa,gpt-4o,MLflow,llm_judge,0.0,10,2.124
gpqa,gpt-4o,RAGAS,llm_judge,0.9,10,3.914
mmmlu,claude-sonnet-4,Arize,faithfulness,1.0,10,1.841
mmmlu,claude-sonnet-4,Arize,llm_judge,0.7,10,1.841
mmmlu,claude-sonnet-4,DeepEval,faithfulness,1.0,10,11.855
mmmlu,claude-sonnet-4,DeepEval,llm_judge,0.7,10,11.855
mmmlu,claude-sonnet-4,MLflow,faithfulness,1.0,9,16.212
mmmlu,claude-sonnet-4,MLflow,llm_judge,0.7,10,16.212
mmmlu,claude-sonnet-4,RAGAS,faithfulness,0.9239,10,32.523
mmmlu,claude-sonnet-4,RAGAS,llm_judge,0.7,10,32.523
mmmlu,gemini-2.5-pro,Arize,faithfulness,1.0,10,1.901
mmmlu,gemini-2.5-pro,Arize,llm_judge,0.9,10,1.901
mmmlu,gemini-2.5-pro,DeepEval,faithfulness,1.0,10,11.261
mmmlu,gemini-2.5-pro,DeepEval,llm_judge,0.8,10,11.261
mmmlu,gemini-2.5-pro,MLflow,faithfulness,1.4,10,9.791
mmmlu,gemini-2.5-pro,MLflow,llm_judge,0.7,10,9.791
mmmlu,gemini-2.5-pro,RAGAS,faithfulness,0.9739,9,70.649
mmmlu,gemini-2.5-pro,RAGAS,llm_judge,0.7,10,70.649
mmmlu,gpt-4o,Arize,faithfulness,1.0,10,1.436
mmmlu,gpt-4o,Arize,llm_judge,0.8,10,1.436
mmmlu,gpt-4o,DeepEval,faithfulness,1.0,10,10.67
mmmlu,gpt-4o,DeepEval,llm_judge,0.6,10,10.67
mmmlu,gpt-4o,MLflow,faithfulness,1.7,10,11.319
mmmlu,gpt-4o,MLflow,llm_judge,0.0,10,11.319
mmmlu,gpt-4o,RAGAS,faithfulness,0.8173,9,40.486
mmmlu,gpt-4o,RAGAS,llm_judge,0.6,10,40.486
mmmu,claude-sonnet-4,Arize,faithfulness,0.75,10,1.885
mmmu,claude-sonnet-4,Arize,llm_judge,0.5,10,1.885
mmmu,claude-sonnet-4,DeepEval,faithfulness,1.0,10,13.633
mmmu,claude-sonnet-4,DeepEval,llm_judge,0.1,10,13.633
mmmu,claude-sonnet-4,MLflow,faithfulness,3.0,10,10.921
mmmu,claude-sonnet-4,MLflow,llm_judge,0.0,10,10.921
mmmu,claude-sonnet-4,RAGAS,faithfulness,0.2459,10,23.228
mmmu,claude-sonnet-4,RAGAS,llm_judge,0.3,10,23.228
mmmu,gemini-2.5-pro,Arize,faithfulness,0.75,10,1.464
mmmu,gemini-2.5-pro,Arize,llm_judge,0.8,10,1.464
mmmu,gemini-2.5-pro,DeepEval,faithfulness,0.9567,10,14.666
mmmu,gemini-2.5-pro,DeepEval,llm_judge,0.8,10,14.666
mmmu,gemini-2.5-pro,MLflow,faithfulness,4.0,10,11.584
mmmu,gemini-2.5-pro,MLflow,llm_judge,0.85,10,11.584
mmmu,gemini-2.5-pro,RAGAS,faithfulness,0.3454,9,597.522
mmmu,gemini-2.5-pro,RAGAS,llm_judge,0.2,10,597.522
mmmu,gpt-4o,Arize,faithfulness,0.75,10,1.975
mmmu,gpt-4o,Arize,llm_judge,0.8,10,1.975
mmmu,gpt-4o,DeepEval,faithfulness,1.0,10,13.343
mmmu,gpt-4o,DeepEval,llm_judge,0.0,10,13.343
mmmu,gpt-4o,MLflow,faithfulness,2.9,10,11.64
mmmu,gpt-4o,MLflow,llm_judge,0.0,10,11.64
mmmu,gpt-4o,RAGAS,faithfulness,0.7711,10,39.722
mmmu,gpt-4o,RAGAS,llm_judge,0.4,10,39.722
swe-bench-verified,claude-sonnet-4,Arize,llm_judge,1.0,10,1.217
swe-bench-verified,claude-sonnet-4,DeepEval,llm_judge,0.65,10,3.254
swe-bench-verified,claude-sonnet-4,MLflow,llm_judge,0.6,10,2.865
swe-bench-verified,claude-sonnet-4,RAGAS,llm_judge,0.6,10,4.021
swe-bench-verified,gemini-2.5-pro,Arize,llm_judge,0.9,10,1.079
swe-bench-verified,gemini-2.5-pro,DeepEval,llm_judge,0.0,10,3.126
swe-bench-verified,gemini-2.5-pro,MLflow,llm_judge,0.0,10,2.906
swe-bench-verified,gemini-2.5-pro,RAGAS,llm_judge,0.3,10,3.881
swe-bench-verified,gpt-4o,Arize,llm_judge,1.0,10,1.169
swe-bench-verified,gpt-4o,DeepEval,llm_judge,0.0,10,4.606
swe-bench-verified,gpt-4o,MLflow,llm_judge,0.0,10,2.327
swe-bench-verified,gpt-4o,RAGAS,llm_judge,0.4,10,5.507
